surface,tourney_level,best_of,round,rank_diff,points_diff,age_diff,win_loss,ace_diff,df_diff,bp_diff,h2h_diff,player_elo_before,opponent_elo_before
0.0,2,3,3,69.0,6.4552,-0.5,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,13.0,4.9904,-0.7,1,0.0,0.0,0.0,0,994.82708,1000.0
0.0,2,3,3,-13.0,-4.9904,0.7,0,-0.0,-0.0,-0.0,0,1000.0,994.82708
0.0,2,3,3,41.0,5.5797,5.4,1,1.0,-1.0,-1.0,0,994.92064,994.82708
0.0,2,3,3,-41.0,-5.5797,-5.4,0,-1.0,1.0,1.0,0,994.82708,994.92064
0.0,2,3,3,-17.0,-5.2417,3.4,1,0.0,0.0,0.0,0,994.92064,1000.0
0.0,2,3,3,17.0,5.2417,-3.4,0,-0.0,-0.0,-0.0,0,1000.0,994.92064
0.0,2,3,3,-22.0,-5.5053,-9.2,1,0.0,0.0,0.0,0,1000.0,993.13855
0.0,2,3,3,22.0,5.5053,9.2,0,-0.0,-0.0,-0.0,0,993.13855,1000.0
0.0,2,3,3,39.0,5.4116,-4.9,1,0.0,0.0,0.0,0,1000.0,1000.0
0.0,2,3,3,-39.0,-5.4116,4.9,0,-0.0,-0.0,-0.0,0,1000.0,1000.0
0.0,2,3,3,-1.0,-2.3979,-5.5,1,0.0,0.0,0.0,0,994.92064,1000.0
0.0,2,3,3,1.0,2.3979,5.5,0,-0.0,-0.0,-0.0,0,1000.0,994.92064
0.0,2,3,4,290.0,5.6937,-6.4,1,0.0,0.0,0.0,0,1000.0,1004.51128
0.0,2,3,4,-290.0,-5.6937,6.4,0,-0.0,-0.0,-0.0,0,1004.51128,1000.0
0.0,2,3,4,-15.0,-4.8978,-4.5,1,-2.0,1.0,-2.5,0,1004.51128,1009.04995
0.0,2,3,4,15.0,4.8978,4.5,0,2.0,-1.0,2.5,0,1009.04995,1004.51128
0.0,2,3,4,-29.0,-7.0884,-0.2,1,-0.67,1.0,-4.33,0,1004.57143,993.98865
0.0,2,3,4,29.0,7.0884,0.2,0,0.67,-1.0,4.33,0,993.98865,1004.57143
0.0,2,3,4,-11.0,-3.8067,3.5,1,-3.0,-0.5,-6.0,0,1005.17292,1004.57143
0.0,2,3,4,11.0,3.8067,-3.5,0,3.0,0.5,6.0,0,1004.57143,1005.17292
0.0,2,3,4,10.0,4.852,1.5,1,4.0,-0.33,-1.33,0,1011.06528,1010.91633
0.0,2,3,4,-10.0,-4.852,-1.5,0,-4.0,0.33,1.33,0,1010.91633,1011.06528
0.0,2,3,4,38.0,7.1639,3.9,1,2.33,-2.33,0.0,0,995.42857,1011.15454
0.0,2,3,4,-38.0,-7.1639,-3.9,0,-2.33,2.33,-0.0,0,1011.15454,995.42857
0.0,2,3,4,2.0,2.0794,3.0,1,6.0,2.0,-2.0,0,1004.57143,1004.48116
