best_of,match_importance,rank_diff,points_diff,age_diff,win_loss,ace_diff,df_diff,bp_diff,h2h_diff,player_elo_before,opponent_elo_before,surface_elo_diff
3,24,5.0,0.0,-8.1,1,0.0,0.0,0.0,1,1000.0,1000.0,0.0
3,24,-5.0,-0.0,8.1,0,-0.0,-0.0,-0.0,-1,1000.0,1000.0,0.0
3,30,83.0,0.0,10.8,1,0.0,0.0,0.0,1,1000.0,1000.0,0.0
3,30,-83.0,-0.0,-10.8,0,-0.0,-0.0,-0.0,-1,1000.0,1000.0,0.0
3,30,111.0,0.0,-14.1,1,0.0,0.0,0.0,0,994.92064,1000.0,-5.07936
3,30,-111.0,-0.0,14.1,0,-0.0,-0.0,-0.0,0,1000.0,994.92064,5.07936
3,30,128.0,0.0,8.5,1,0.0,0.0,0.0,-1,1020.23857,1004.57143,-9.14286
3,30,-128.0,-0.0,-8.5,0,-0.0,-0.0,-0.0,1,1004.57143,1020.23857,9.14286
3,36,54.0,0.0,-1.2,1,0.0,0.0,0.0,0,1058.34387,1035.51756,52.56001
3,36,-54.0,-0.0,1.2,0,-0.0,-0.0,-0.0,0,1035.51756,1058.34387,-52.56001
3,36,26.0,0.0,-8.3,1,0.0,0.0,0.0,0,1011.15454,1004.57143,6.58311
3,36,-26.0,-0.0,8.3,0,-0.0,-0.0,-0.0,0,1004.57143,1011.15454,-6.58311
3,42,21.0,0.0,5.6,1,0.0,0.0,0.0,0,1073.29419,1026.85141,44.57287
3,42,-21.0,-0.0,-5.6,0,-0.0,-0.0,-0.0,0,1026.85141,1073.29419,-44.57287
5,15,79.0,0.0,-0.2,1,0.0,0.0,0.0,1,1009.14411,995.42857,4.57143
5,15,-79.0,-0.0,0.2,0,-0.0,-0.0,-0.0,-1,995.42857,1009.14411,-4.57143
3,42,7.0,0.0,-1.1,1,0.0,0.0,0.0,-1,1000.0,1000.0,0.0
3,42,-7.0,-0.0,1.1,0,-0.0,-0.0,-0.0,1,1000.0,1000.0,0.0
3,36,-47.0,0.0,-7.5,1,0.0,0.0,0.0,-2,1004.57143,1000.0,4.57143
3,36,47.0,-0.0,7.5,0,-0.0,-0.0,-0.0,2,1000.0,1004.57143,-4.57143
3,36,-20.0,0.0,-6.0,1,0.0,0.0,0.0,0,995.42857,995.42857,0.0
3,36,20.0,-0.0,6.0,0,-0.0,-0.0,-0.0,0,995.42857,995.42857,0.0
3,30,65.0,0.0,-4.5,1,0.0,0.0,0.0,0,1009.0493,995.36932,13.68008
3,30,-65.0,-0.0,4.5,0,-0.0,-0.0,-0.0,0,995.36932,1009.0493,-13.68008
3,30,19.0,0.0,1.0,1,0.0,0.0,0.0,0,990.85714,1000.0,-9.14286
3,30,-19.0,-0.0,-1.0,0,-0.0,-0.0,-0.0,0,1000.0,990.85714,9.14286
3,30,59.0,0.0,-2.3,1,0.0,0.0,0.0,0,1005.07936,995.49701,9.58239
3,30,-59.0,-0.0,2.3,0,-0.0,-0.0,-0.0,0,995.49701,1005.07936,-9.58239
3,30,78.0,0.0,-0.5,1,0.0,0.0,0.0,-1,995.48872,1000.0,-4.51128
3,30,-78.0,-0.0,0.5,0,-0.0,-0.0,-0.0,1,1000.0,995.48872,4.51128
3,24,71.0,0.0,7.5,1,0.0,0.0,0.0,0,1007.27809,1000.0,7.27809
3,24,-71.0,-0.0,-7.5,0,-0.0,-0.0,-0.0,0,1000.0,1007.27809,-7.27809
3,24,6.0,0.0,3.9,1,0.0,0.0,0.0,0,995.36922,1000.0,-4.63078
