surface,tourney_level,best_of,round,rank_diff,points_diff,age_diff,player_elo_before,opponent_elo_before
0.0,2,3,4,-28.0,560.0,8.5,995.4285714285714,1004.6916991337692
0.0,2,3,4,28.0,-560.0,-8.5,1004.6916991337692,995.4285714285714
0.0,2,3,4,-14.0,384.0,3.5,1005.0793650793652,1004.5714285714286
0.0,2,3,4,14.0,-384.0,-3.5,1004.5714285714286,1005.0793650793652
0.0,2,3,4,14.0,-305.0,3.7,1008.9351165633587,1010.8547748656925
0.0,2,3,4,-14.0,305.0,-3.7,1010.8547748656925,1008.9351165633587
0.0,2,3,4,47.0,-723.0,-9.0,1009.0499424320277,995.4285714285714
0.0,2,3,4,-47.0,723.0,9.0,995.4285714285714,1009.0499424320277
0.0,2,3,4,52.0,-386.0,0.0,1004.4784842655688,1005.0689689353817
0.0,2,3,4,-52.0,386.0,-0.0,1005.0689689353817,1004.4784842655688
0.0,2,3,4,29.0,-842.0,5.2,1010.9440262445971,993.261917707426
0.0,2,3,4,-29.0,842.0,-5.2,993.261917707426,1010.9440262445971
0.0,2,3,5,-272.0,570.0,0.7,1026.5654476176685,1009.0241320483838
0.0,2,3,5,272.0,-570.0,-0.7,1009.0241320483838,1026.5654476176685
0.0,2,3,5,1.0,-46.0,-5.4,1021.0559737554029,1005.2689125228889
0.0,2,3,5,-1.0,46.0,5.4,1005.2689125228889,1021.0559737554029
0.0,2,3,5,-26.0,198.0,9.4,1025.0235191955853,1024.4229763125697
0.0,2,3,5,26.0,-198.0,-9.4,1024.4229763125697,1025.0235191955853
0.0,2,3,5,41.0,-263.0,-0.3,1009.1136342503794,1026.1304373630608
0.0,2,3,5,-41.0,263.0,0.3,1026.1304373630608,1009.1136342503794
0.0,2,3,6,38.0,-594.0,-0.6,1041.7583258600853,1036.3294526620857
0.0,2,3,6,-38.0,594.0,0.6,1036.3294526620857,1041.7583258600853
0.0,2,3,6,47.0,-326.0,-2.7,1025.8966609666902,1040.9958632013254
0.0,2,3,6,-47.0,326.0,2.7,1040.9958632013254,1025.8966609666902
0.0,2,3,3,317.0,-412.0,1.3,1000.0,995.4285714285714
0.0,2,3,3,-317.0,412.0,-1.3,995.4285714285714,1000.0
0.0,2,3,3,1.0,-4.0,-6.1,1000.0,995.4285714285714
0.0,2,3,3,-1.0,4.0,6.1,995.4285714285714,1000.0
0.0,2,3,3,-13.0,118.0,0.7,992.9351165633587,995.4285714285714
0.0,2,3,3,13.0,-118.0,-0.7,995.4285714285714,992.9351165633587
0.0,2,3,3,-13.0,138.0,2.3,1000.0,1000.0
0.0,2,3,3,13.0,-138.0,-2.3,1000.0,1000.0
0.0,2,3,3,-466.0,443.0,3.4,995.4285714285714,1000.0
0.0,2,3,3,466.0,-443.0,-3.4,1000.0,995.4285714285714
0.0,2,3,3,69.0,-635.0,0.5,1000.0,1000.0
0.0,2,3,3,-69.0,635.0,-0.5,1000.0,1000.0
0.0,2,3,3,-13.0,146.0,-0.7,994.8270749571972,1000.0
0.0,2,3,3,13.0,-146.0,0.7,1000.0,994.8270749571972
0.0,2,3,3,-41.0,264.0,5.4,994.9206349206348,994.8270749571972
0.0,2,3,3,41.0,-264.0,-5.4,994.8270749571972,994.9206349206348
0.0,2,3,3,17.0,-188.0,3.4,994.9206349206348,1000.0
0.0,2,3,3,-17.0,188.0,-3.4,1000.0,994.9206349206348
0.0,2,3,3,22.0,-245.0,-9.2,1000.0,993.138548547419
0.0,2,3,3,-22.0,245.0,9.2,993.138548547419,1000.0
0.0,2,3,3,-39.0,223.0,-4.9,1000.0,1000.0
0.0,2,3,3,39.0,-223.0,4.9,1000.0,1000.0
0.0,2,3,3,1.0,-10.0,-5.5,994.9206349206348,1000.0
0.0,2,3,3,-1.0,10.0,5.5,1000.0,994.9206349206348
0.0,2,3,7,26.0,-141.0,1.9,1042.5915674950093,1057.5083373553616
0.0,2,3,7,-26.0,141.0,-1.9,1057.5083373553616,1042.5915674950093
0.0,2,3,4,-290.0,296.0,-6.4,1000.0,1004.5112828806471
0.0,2,3,4,290.0,-296.0,6.4,1004.5112828806471,1000.0
0.0,2,3,4,15.0,-133.0,-4.5,1004.5112828806471,1009.0499424320277
0.0,2,3,4,-15.0,133.0,4.5,1009.0499424320277,1004.5112828806471
0.0,2,3,4,29.0,-1197.0,-0.2,1004.5714285714286,993.9886514349116
0.0,2,3,4,-29.0,1197.0,0.2,993.9886514349116,1004.5714285714286
0.0,2,3,4,11.0,-44.0,3.5,1005.1729250428028,1004.5714285714286
0.0,2,3,4,-11.0,44.0,-3.5,1004.5714285714286,1005.1729250428028
0.0,2,3,4,-10.0,127.0,1.5,1011.0652793576658,1010.9163263251967
0.0,2,3,4,10.0,-127.0,-1.5,1010.9163263251967,1011.0652793576658
0.0,2,3,4,-38.0,1291.0,3.9,995.4285714285714,1011.1545316633778
0.0,2,3,4,38.0,-1291.0,-3.9,1011.1545316633778,995.4285714285714
0.0,2,3,4,-2.0,7.0,3.0,1004.5714285714286,1004.4811598732418
0.0,2,3,4,2.0,-7.0,-3.0,1004.4811598732418,1004.5714285714286
0.0,2,3,4,50.0,-1712.0,-4.8,1011.1545316633778,1000.0
0.0,2,3,4,-50.0,1712.0,4.8,1000.0,1011.1545316633778
0.0,2,3,5,75.0,-364.0,-6.1,1004.6307830227139,1009.2090151060434
0.0,2,3,5,-75.0,364.0,6.1,1009.2090151060434,1004.6307830227139
0.0,2,3,5,-68.0,417.0,-4.6,1008.9263219285899,1021.1452251343075
