best_of,match_importance,rank_diff,points_diff,age_diff,win_loss,ace_diff,df_diff,bp_diff,h2h_diff,player_elo_before,opponent_elo_before,surface_elo_diff
3,24,-114.0,-5.4027,5.1,1,7.0,-3.0,-5.0,0,1502.66667,1502.66667,0.0
3,24,114.0,5.4027,-5.1,0,-7.0,3.0,5.0,0,1502.66667,1502.66667,-0.0
3,24,26.0,6.9017,11.5,1,8.0,-2.0,2.0,0,1502.66667,1502.66667,0.0
3,24,-26.0,-6.9017,-11.5,0,-8.0,2.0,-2.0,0,1502.66667,1502.66667,-0.0
3,48,63.0,8.2726,-0.5,1,,,,0,1500.0,1502.66667,-2.66667
3,48,-63.0,-8.2726,0.5,0,,,,0,1502.66667,1500.0,2.66667
3,24,14.0,4.6444,1.6,1,7.0,1.0,5.0,0,1502.66667,1502.66667,0.0
3,24,-14.0,-4.6444,-1.6,0,-7.0,-1.0,-5.0,0,1502.66667,1502.66667,-0.0
3,24,-19.0,-5.9764,-0.5,1,-1.0,-3.0,8.0,0,1502.66667,1502.66667,0.0
3,24,19.0,5.9764,0.5,0,1.0,3.0,-8.0,0,1502.66667,1502.66667,-0.0
3,24,52.0,8.5283,1.8,1,1.0,8.0,-6.0,0,1502.66667,1502.66667,0.0
3,24,-52.0,-8.5283,-1.8,0,-1.0,-8.0,6.0,0,1502.66667,1502.66667,-0.0
3,24,-117.0,-6.3117,-7.7,1,-3.0,2.0,-1.0,0,1502.66667,1502.66667,0.0
3,24,117.0,6.3117,7.7,0,3.0,-2.0,1.0,0,1502.66667,1502.66667,-0.0
3,60,15.0,8.4009,1.4,1,-2.0,3.0,-2.5,0,1502.68713,1505.33333,-2.6462
3,60,-15.0,-8.4009,-1.4,0,2.0,-3.0,2.5,0,1505.33333,1502.68713,2.6462
3,60,-19.0,-7.5099,-6.6,1,-0.5,2.5,2.5,0,1505.33333,1505.33333,0.0
3,60,19.0,7.5099,6.6,0,0.5,-2.5,-2.5,0,1505.33333,1505.33333,-0.0
3,30,81.0,8.6399,1.4,1,-1.0,-3.0,1.0,0,1505.33333,1505.33333,0.0
3,30,-81.0,-8.6399,-1.4,0,1.0,3.0,-1.0,0,1505.33333,1505.33333,-0.0
3,30,67.0,8.2754,-1.7,1,-6.0,2.0,2.5,0,1505.33333,1505.33333,0.0
3,30,-67.0,-8.2754,1.7,0,6.0,-2.0,-2.5,0,1505.33333,1505.33333,-0.0
3,60,66.0,6.6529,1.5,1,-1.5,-2.0,0.5,0,1505.33333,1505.33333,0.0
3,60,-66.0,-6.6529,-1.5,0,1.5,2.0,-0.5,0,1505.33333,1505.33333,-0.0
3,30,-65.0,-6.6733,-0.3,1,-2.0,-1.0,4.0,0,1505.33333,1505.33333,0.0
3,30,65.0,6.6733,0.3,0,2.0,1.0,-4.0,0,1505.33333,1505.33333,-0.0
3,30,12.0,6.1841,5.7,1,-6.0,0.5,-0.5,0,1505.33333,1505.33333,0.0
3,30,-12.0,-6.1841,-5.7,0,6.0,-0.5,0.5,0,1505.33333,1505.33333,-0.0
3,60,45.0,8.2,-2.4,1,-2.0,2.0,1.0,0,1502.68713,1505.33333,-2.6462
3,60,-45.0,-8.2,2.4,0,2.0,-2.0,-1.0,0,1505.33333,1502.68713,2.6462
3,30,203.0,6.7673,-4.8,1,-2.0,-0.0,-3.0,0,1505.33333,1505.33333,0.0
3,30,-203.0,-6.7673,4.8,0,2.0,0.0,3.0,0,1505.33333,1505.33333,-0.0
3,30,45.0,7.1515,6.1,1,5.0,3.0,-2.0,0,1505.33333,1505.33333,0.0
3,30,-45.0,-7.1515,-6.1,0,-5.0,-3.0,2.0,0,1505.33333,1505.33333,-0.0
3,30,65.0,8.5591,4.6,1,-1.0,1.0,-4.5,0,1505.33333,1505.33333,0.0
3,30,-65.0,-8.5591,-4.6,0,1.0,-1.0,4.5,0,1505.33333,1505.33333,-0.0
3,30,125.0,6.4922,-2.8,1,-3.5,-1.5,4.5,0,1505.33333,1505.33333,0.0
3,30,-125.0,-6.4922,2.8,0,3.5,1.5,-4.5,0,1505.33333,1505.33333,-0.0
3,72,26.0,8.5585,7.4,1,1.33,-2.5,-3.83,0,1505.374,1508.0,-2.626
